reference_id	ref_gene_id	ref_gene_name	SRR2753092	SRR2753098	SRR2753106	SRR2753116
ENST00000402089.4	ENSG00000187653.11	TMSB4XP8	23.206793	53.585203	35.142103	21.675218
ENST00000510601.2	ENSG00000249239.2	RP11-428L21.2	0.594927	0	0.122326	0
ENST00000506089.1	ENSG00000163104.18	SMARCAD1	0.11122	0.032648	0.324845	1.307033
ENST00000514232.1	ENSG00000163104.18	SMARCAD1	0.185198	1.107801	0.368061	1.557756
ENST00000478069.1	ENSG00000241103.1	RPL35AP11	0.436613	0	0	1.909745
ENST00000512274.1	ENSG00000163110.15	PDLIM5	0.265768	0	0.055764	0
ENST00000509333.5	ENSG00000163110.15	PDLIM5	0.034486	0.374545	0.203372	0
ENST00000511767.3	ENSG00000163110.15	PDLIM5	0.485485	0	1.492883	0
ENST00000505291.2	ENSG00000236764.4	COX7A2P2	1.262561	0.643059	0.276905	2.7654
ENST00000477071.2	ENSG00000242697.2	RPL5P12	42.092217	11.072409	9.346116	25.914092
ENST00000485315.1	ENSG00000242318.1	RP11-810D13.1	0.030337	0.932871	0.526953	0.550779
ENST00000624114.1	ENSG00000279913.1	AP001962.3	0.027011	0.120155	0.16233	0.467029
ENST00000513224.1	ENSG00000227118.3	BTF3P13	2.136453	2.971225	5.09078	2.483907
ENST00000512475.1	ENSG00000249055.1	TBCAP3	0.062221	2.553435	0.713611	1.3946
ENST00000296411.11	ENSG00000164024.12	METAP1	7.02416	18.455988	25.823462	0
ENST00000579779.1	ENSG00000265213.1	MIR3684	1.000768	0.042021	6.320874	1.731314
ENST00000513097.1	ENSG00000164024.12	METAP1	0.251414	0.171457	0.218762	0
ENST00000609071.1	ENSG00000272777.1	RP11-571L19.8	0.489583	2.114507	0.871325	1.378143
ENST00000469942.1	ENSG00000164031.17	DNAJB14	1.220484	2.211583	1.620989	0
ENST00000623099.1	ENSG00000279098.1	RP11-15B17.4	0.8166	0.16181	0.823315	1.400071
ENST00000511348.1	ENSG00000164032.12	H2AZ1	37.60025	7.495418	25.008695	5.406879
ENST00000511857.1	ENSG00000250403.1	RP11-15B17.2	0.158164	0.365961	0.18937	0.11744
ENST00000296420.9	ENSG00000164035.10	EMCN	3.97905	11.121338	6.893237	0
ENST00000504403.1	ENSG00000153064.12	BANK1	0.015137	0.302577	0.029121	0
ENST00000394853.8	ENSG00000138814.17	PPP3CA	14.256478	10.848515	19.04019	17.850247
ENST00000506389.1	ENSG00000251571.1	DDX3P3	0.181374	0.230956	0	1.475358
ENST00000394833.6	ENSG00000138821.14	SLC39A8	21.779902	20.563769	41.0919	19.83183
ENST00000505709.1	ENSG00000248161.5	RP11-499E18.1	1.066672	0	0.524674	0
ENST00000563833.1	ENSG00000260651.1	AF213884.2	0.030021	0.184367	0	0.055513
ENST00000502367.1	ENSG00000109320.13	NFKB1	0.901902	2.801556	0	0
ENST00000504044.1	ENSG00000109320.13	NFKB1	0.108478	0.780202	0.193082	0.776944
ENST00000647097.2	ENSG00000109323.11	MANBA	10.146121	5.983012	18.247685	0
ENST00000508141.1	ENSG00000109323.11	MANBA	0.043123	0.36229	0.343355	0.585999
ENST00000506478.1	ENSG00000109323.11	MANBA	0.011205	0.827091	1.6451	1.186289
ENST00000512037.2	ENSG00000248971.2	KRT8P46	2.899187	2.166232	0.120708	2.617337
ENST00000513388.2	ENSG00000251288.2	RP11-10L12.2	2.477966	1.473851	1.886055	2.493274
ENST00000273986.10	ENSG00000145354.12	CISD2	2.65611	4.138184	6.055982	0
ENST00000510927.5	ENSG00000145348.17	TBCK	9.988633	2.829551	6.130183	0
ENST00000682186.1	ENSG00000164022.18	AIMP1	3.597148	7.383085	6.784986	6.455818
ENST00000683179.1	ENSG00000164022.18	AIMP1	14.120437	2.105274	24.97803	24.798152
ENST00000684019.1	ENSG00000164022.18	AIMP1	0.058954	0.585574	0.325722	1.362851
ENST00000512182.2	ENSG00000213522.4	RAC1P5	0.864732	0	0	0.633704
ENST00000380013.9	ENSG00000168769.14	TET2	9.203231	12.456049	16.702998	0
ENST00000413648.2	ENSG00000168769.14	TET2	1.602248	2.302134	5.96324	0
ENST00000505801.1	ENSG00000168769.14	TET2	3.597709	2.28477	0.539091	0
ENST00000513605.5	ENSG00000138777.20	PPA2	0.050467	0.7831	1.578722	0
ENST00000364047.1	ENSG00000200917.1	RNU6-553P	0.262135	0.285044	0.60417	0
ENST00000514975.1	ENSG00000249264.1	EEF1A1P9	109.162723	6.662301	5.818877	128.809999
ENST00000503155.1	ENSG00000248778.1	RP11-311D14.1	0.16548	0	0.061776	0.083571
ENST00000493425.1	ENSG00000138785.15	INTS12	0.04333	0.211733	0.131156	0.158416
ENST00000265174.5	ENSG00000138801.9	PAPSS1	6.841791	24.511207	0	0
ENST00000506544.1	ENSG00000138801.9	PAPSS1	0.006928	0.094292	1.24145	7.645731
ENST00000410759.1	ENSG00000222691.1	RNU6-733P	0.248884	0	0.728602	0
ENST00000640752.2	ENSG00000138796.18	HADH	4.880404	1.823282	0.223509	0
ENST00000682197.1	ENSG00000138796.18	HADH	0.05963	0.291883	0.041206	0
ENST00000309522.8	ENSG00000138796.18	HADH	8.730893	11.649224	17.855857	0
ENST00000514776.3	ENSG00000138796.18	HADH	0.114238	0.323955	0.057157	0.557644
ENST00000502779.2	ENSG00000250185.2	RCC2P8	0.111149	0	0	0
ENST00000504231.1	ENSG00000109475.17	RPL34	1.118421	1.697067	1.432233	18.198076
ENST00000383874.1	ENSG00000206601.1	RNU6-431P	0.759316	0.249928	0	0.316283
ENST00000507797.1	ENSG00000249465.1	RBMXP4	0.546002	0.096797	0.124567	0.653534
ENST00000464534.3	ENSG00000243227.3	RN7SL55P	5.601894	1.839803	1.729238	0.358119
ENST00000385253.1	ENSG00000207988.1	MIR576	1.313273	1.009024	0.066821	0.887991
ENST00000457046.3	ENSG00000225094.3	SETP20	1.379066	0.884932	1.130932	0.612838
ENST00000510507.2	ENSG00000249965.2	CDC42P4	0.068963	0	1.211317	0.30914
ENST00000609440.1	ENSG00000272795.1	GAR1-DT	1.147632	0.251157	0	0.458225
ENST00000472310.5	ENSG00000005059.16	MCUB	0.083539	0.437835	0	0
ENST00000515114.3	ENSG00000005059.16	MCUB	0.111192	0.005013	0	0
ENST00000394650.7	ENSG00000005059.16	MCUB	10.282684	10.068833	0	0
ENST00000507617.1	ENSG00000248785.1	HIGD1AP14	1.749058	4.227691	3.032047	2.242981
ENST00000494604.1	ENSG00000005059.16	MCUB	0.043947	0.584224	0.852273	1.26058
ENST00000265164.7	ENSG00000138794.10	CASP6	8.586224	9.540182	0	0
ENST00000507550.5	ENSG00000138794.10	CASP6	0.007478	0.616397	0.681154	5.89867
ENST00000505117.5	ENSG00000138794.10	CASP6	0.299831	0.346988	0.094787	8.017791
ENST00000510324.1	ENSG00000138794.10	CASP6	0.176878	1.03109	0.611362	2.996755
ENST00000508203.1	ENSG00000138794.10	CASP6	0.160633	1.703535	0.378691	0
ENST00000608733.1	ENSG00000273447.1	AC004067.5	0.096551	3.031386	3.541495	2.514
ENST00000502772.1	ENSG00000123739.11	PLA2G12A	0.081864	0.208023	0.052498	2.035303
ENST00000510800.1	ENSG00000205403.14	CFI	0.241635	0	0	0
ENST00000507451.1	ENSG00000170522.10	ELOVL6	0.461807	0.012488	0.265201	0
ENST00000513113.2	ENSG00000251483.2	LYPLA1P2	0.158159	0	0	0.622694
ENST00000514955.1	ENSG00000248697.1	TOX4P1	1.079463	1.919182	0.976938	2.487412
ENST00000309733.6	ENSG00000174749.6	FAM241A	2.844166	4.371962	4.211001	3.147093
ENST00000484625.2	ENSG00000243280.2	RP11-477G18.2	0.329774	0.681522	0.567869	1.181623
ENST00000562919.1	ENSG00000260526.1	RP11-73K9.2	0.101705	0.6659	0.208601	0.426234
ENST00000510527.5	ENSG00000138660.12	AP1AR	0.02862	0.230717	0.149098	0.884502
ENST00000274000.10	ENSG00000138660.12	AP1AR	1.496641	2.763635	2.55486	2.008715
ENST00000610220.1	ENSG00000272567.1	RP11-73K9.3	0.074166	0.502386	0	0.37331
ENST00000504490.2	ENSG00000251441.3	RTEL1P1	0.160775	0.494662	0	0.421798
ENST00000509209.1	ENSG00000073331.18	ALPK1	0.102305	2.350012	3.449506	0
ENST00000321285.4	ENSG00000250966.2	H3P14	3.719609	2.489543	4.412277	5.878297
ENST00000512075.1	ENSG00000138658.16	ZGRF1	3.30377	0.387031	0.251276	0
ENST00000362299.1	ENSG00000199169.1	MIR367	0.697851	2.149261	6.135709	2.648373
ENST00000362188.1	ENSG00000284463.1	MIR302B	0.196986	0.53672	0.845785	0.9603
ENST00000512361.1	ENSG00000174720.16	LARP7	1.229821	0.044392	0.310759	0.193344
ENST00000424397.2	ENSG00000220924.4	OSTCP4	0.124907	0.174524	0.154179	0.195611
ENST00000479865.1	ENSG00000241002.1	RPL32P13	16.467004	0.087211	0.5828	6.412812
ENST00000482859.1	ENSG00000241741.1	RPL7AP30	164.172111	179.153722	164.42489	103.506398
ENST00000504528.2	ENSG00000234841.4	RP11-119H12.4	0.174085	0	0.363848	0.903935
ENST00000485827.1	ENSG00000196656.7	AC004057.1	13.285682	52.434445	24.453573	14.924824
ENST00000513132.5	ENSG00000145349.18	CAMK2D	0.1039	0	0	0
ENST00000505132.1	ENSG00000145349.18	CAMK2D	0.311438	0.152152	0	0
ENST00000514821.1	ENSG00000250215.1	CIR1P2	0.111975	0.748429	0.103169	0.369261
ENST00000514461.1	ENSG00000250442.1	EIF3KP3	0.44839	0	0	0.745241
ENST00000604093.2	ENSG00000270394.4	MTRNR2L13	0.2259	0	0	0.271843
ENST00000514175.1	ENSG00000213493.3	ACTN4P1	1.062145	0.397108	0.082524	1.23864
ENST00000310754.5	ENSG00000174599.5	TRAM1L1	0.099871	0.731049	0.34867	0.590287
ENST00000441170.1	ENSG00000213492.2	NT5C3AP1	1.567467	0.797021	0.853889	0.510202
ENST00000394500.2	ENSG00000213492.2	NT5C3AP1	3.899812	2.209124	3.685161	4.970378
ENST00000507284.2	ENSG00000251463.2	FKBP4P1	0.489207	0.440926	0	0.742959
ENST00000602520.5	ENSG00000269893.8	SNHG8	9.627601	0.171307	18.172121	0.332605
ENST00000654083.1	ENSG00000269893.8	SNHG8	0.79036	7.171151	4.168467	3.499855
ENST00000667980.1	ENSG00000269893.8	SNHG8	2.339776	0.40565	0.994214	1.145274
ENST00000652022.1	ENSG00000269893.8	SNHG8	52.168439	16.523676	18.34819	35.006813
ENST00000665363.1	ENSG00000269893.8	SNHG8	7.335083	0.694379	1.951896	4.431826
ENST00000602573.1	ENSG00000269893.8	SNHG8	1.786846	6.100801	4.913226	2.488657
ENST00000384096.1	ENSG00000275994.1	SNORA24	2.6e-05	0.002215	0.005845	0.005318
ENST00000616602.2	ENSG00000273716.2	RP11-586D5.3	10.401742	0.568674	0.434031	11.086091
ENST00000635213.1	ENSG00000260404.3	RP11-384K6.6	0.111943	0.273335	5.229928	0.256783
ENST00000411293.1	ENSG00000223225.1	RNU6-1054P	0.366412	0.011913	0.683627	0
ENST00000502609.2	ENSG00000248213.3	CICP16	0.018403	0.066326	0.016634	0
ENST00000502830.1	ENSG00000150961.15	SEC24D	4.329325	0.286378	0.103916	0.732386
ENST00000514418.1	ENSG00000150961.15	SEC24D	0.096359	0	0.006562	0
ENST00000514665.1	ENSG00000145390.11	USP53	1.221856	1.003587	0	0
ENST00000510852.1	ENSG00000145390.11	USP53	0.039799	0.107937	0.1823	3.548095
ENST00000504110.2	ENSG00000164096.13	C4orf3	34.251352	52.305144	48.791491	35.492156
ENST00000364316.1	ENSG00000201186.1	RNU4-33P	0.21147	0	0.319166	0
ENST00000296509.11	ENSG00000164109.14	MAD2L1	1.343011	1.977006	4.902402	0
ENST00000512484.5	ENSG00000164109.14	MAD2L1	0.04657	0.685844	0.240188	8.147793
ENST00000511295.1	ENSG00000164109.14	MAD2L1	0.053087	0.007659	0.002381	0
ENST00000505994.1	ENSG00000249244.1	RP11-548H18.2	0.11385	0.786722	0.446259	0.673812
ENST00000513147.1	ENSG00000245958.6	SEPTIN7P14	0.325781	3.170218	0.964457	2.982711
ENST00000434012.2	ENSG00000225665.4	SAR1AP3	0.196753	0	0	0.146999
ENST00000515076.1	ENSG00000213480.3	RP11-364P2.2	0.554408	0.327986	0.142424	1.429733
ENST00000413478.1	ENSG00000237868.1	AC097533.1	0.329478	0.030917	0	0.090838
